300 520 50 3
420 260 35 3

360 470 40 7
60 450 30 7
50 20 70 7

1100 340 35 3
1200 90 30 3
650 20 60 3
700 500 25 3
960 470 40 3

660 470 40 7
900 240 50 7


2600 340 70 2
2130 800 45 2
1790 1040 35 2

2150 520 40 3
1830 740 60 3
2700 590 40 3
2460 770 50 3


2970 1340 90 2
2490 1200 35 2

2340 1900 40 3
2750 1640 50 3
2680 2100 65 3


1470 2140 30 7
1290 2300 35 7
1250 1840 40 7

1850 2220 45 2
1190 1800 30 2
1570 2000 40 2
2170 2300 50 2

170 2385 85 3


650 720 35 7
250 1420 50 7
620 1350 40 7

380 950 60 2
120 800 40 2
1020 1500 55 2
