200 1100 600 1150 1 1111


800 1100 850 1150 2 1001
800 950 854 1100 2 0111
850 1100 1400 1150 2 1010
1400 1100 1450 1150 2 1100
1395 650 1450 1100 2 0111

800 650 850 800 2 1111
1000 650 1250 700 2 1111


1600 650 1654 1100 6 0111
1600 1100 1650 1150 6 1001
1650 1100 2150 1150 6 1010
2150 1100 2200 1150 6 0110
2145 1150 2200 1450 6 1101

1300 1300 1450 1450 6 1111


1600 1300 1654 1700 6 0111
1600 1700 1650 1750 6 1001
1650 1700 2150 1750 6 1010
2150 1700 2200 1750 6 1100
2145 1600 2200 1700 6 0111


2350 1100 2400 1750 5 1111

1800 1900 2100 2000 5 1111

2800 270 2850 1000 1 1111
2170 150 2270 250 1 1111
2450 140 2700 190 1 1111


200 1700 254 2150 4 1101
200 1650 250 1700 4 0011
250 1650 650 1700 4 1110

400 2100 1000 2150 4 1011
1000 2100 1050 2150 4 1100
995 1700 1050 2100 4 0101
1000 1650 1050 1700 4 0110
800 1650 999 1700 4 1011


1300 450 1350 500 4 1001
1300 400 1354 450 4 0111
1350 450 1900 500 4 1010
1900 450 1950 500 4 1100
1895 200 1950 450 4 0101
1895 150 1950 200 4 0110
1350 150 1899 200 4 1010
1300 150 1350 200 4 0011
1300 200 1355 250 4 1101


2350 2196 2800 2250 5 1011
2800 2200 2850 2250 5 1100
2800 1850 2850 2200 5 0111
